StatePostal,CountyNumber,FIPSCode,CountyName,TOTALVOTESCAST,Party1,Votes1,Party2,Votes2,Party3,Votes3,Party4,Votes4,Party5,Votes5,Party6,Votes6,Party7,Votes7,Party8,Votes8,Party9,Votes9,Party10,Votes10,Party11,Votes11,Party12,Votes12,Party13,Votes13,Party14,Votes14,Party15,Votes15,Party16,Votes16
AK,1,0,Alaska,220596,Dem,91696,GOP,121234,Lib,5539,Grn,2127,,,,,,,,,,,,,,,,,,,,,,,,
AK,2001,2000,Alaska,220596,Dem,91696,GOP,121234,Lib,5539,Grn,2127,,,,,,,,,,,,,,,,,,,,,,,,
AL,1,0,Alabama,2064699,Dem,793620,GOP,1252453,Ind,2961,Ind,12283,Ind,3382,,,,,,,,,,,,,,,,,,,,,,
AL,1001,1001,Autauga,23909,Dem,6354,GOP,17366,Ind,31,Ind,136,Ind,22,,,,,,,,,,,,,,,,,,,,,,
AL,1002,1003,Baldwin,84988,Dem,18329,GOP,65772,Ind,122,Ind,597,Ind,168,,,,,,,,,,,,,,,,,,,,,,
AL,1003,1005,Barbour,11459,Dem,5873,GOP,5539,Ind,9,Ind,32,Ind,6,,,,,,,,,,,,,,,,,,,,,,
AL,1004,1007,Bibb,8391,Dem,2200,GOP,6131,Ind,13,Ind,38,Ind,9,,,,,,,,,,,,,,,,,,,,,,
AL,1005,1009,Blount,23980,Dem,2961,GOP,20741,Ind,59,Ind,169,Ind,50,,,,,,,,,,,,,,,,,,,,,,
AL,1006,1011,Bullock,5318,Dem,4058,GOP,1250,Ind,4,Ind,3,Ind,3,,,,,,,,,,,,,,,,,,,,,,
AL,1007,1013,Butler,9483,Dem,4367,GOP,5081,Ind,9,Ind,20,Ind,6,,,,,,,,,,,,,,,,,,,,,,
AL,1008,1015,Calhoun,46240,Dem,15500,GOP,30272,Ind,85,Ind,291,Ind,92,,,,,,,,,,,,,,,,,,,,,,
AL,1009,1017,Chambers,14562,Dem,6853,GOP,7596,Ind,20,Ind,78,Ind,15,,,,,,,,,,,,,,,,,,,,,,
AL,1010,1019,Cherokee,9761,Dem,2126,GOP,7494,Ind,36,Ind,79,Ind,26,,,,,,,,,,,,,,,,,,,,,,
AL,1011,1021,Chilton,17434,Dem,3391,GOP,13910,Ind,29,Ind,66,Ind,38,,,,,,,,,,,,,,,,,,,,,,
AL,1012,1023,Choctaw,7965,Dem,3785,GOP,4150,Ind,4,Ind,19,Ind,7,,,,,,,,,,,,,,,,,,,,,,
AL,1013,1025,Clarke,13827,Dem,6317,GOP,7463,Ind,11,Ind,22,Ind,14,,,,,,,,,,,,,,,,,,,,,,
AL,1014,1027,Clay,6640,Dem,1770,GOP,4802,Ind,10,Ind,42,Ind,16,,,,,,,,,,,,,,,,,,,,,,
AL,1015,1029,Cleburne,6302,Dem,971,GOP,5269,Ind,14,Ind,37,Ind,11,,,,,,,,,,,,,,,,,,,,,,
AL,1016,1031,Coffee,19715,Dem,4899,GOP,14638,Ind,35,Ind,110,Ind,33,,,,,,,,,,,,,,,,,,,,,,
AL,1017,1033,Colbert,23374,Dem,9160,GOP,13931,Ind,46,Ind,201,Ind,36,,,,,,,,,,,,,,,,,,,,,,
AL,1018,1035,Conecuh,7013,Dem,3551,GOP,3434,Ind,4,Ind,15,Ind,9,,,,,,,,,,,,,,,,,,,,,,
AL,1019,1037,Coosa,5243,Dem,2188,GOP,3028,Ind,1,Ind,18,Ind,8,,,,,,,,,,,,,,,,,,,,,,
AL,1020,1039,Covington,15415,Dem,3155,GOP,12148,Ind,26,Ind,66,Ind,20,,,,,,,,,,,,,,,,,,,,,,
AL,1021,1041,Crenshaw,6411,Dem,2048,GOP,4326,Ind,8,Ind,21,Ind,8,,,,,,,,,,,,,,,,,,,,,,
AL,1022,1043,Cullman,33178,Dem,4855,GOP,27930,Ind,88,Ind,218,Ind,87,,,,,,,,,,,,,,,,,,,,,,
AL,1023,1045,Dale,18551,Dem,5283,GOP,13105,Ind,35,Ind,101,Ind,27,,,,,,,,,,,,,,,,,,,,,,
AL,1024,1047,Dallas,20936,Dem,14599,GOP,6284,Ind,9,Ind,34,Ind,10,,,,,,,,,,,,,,,,,,,,,,
AL,1025,1049,DeKalb,23842,Dem,5235,GOP,18316,Ind,67,Ind,161,Ind,63,,,,,,,,,,,,,,,,,,,,,,
AL,1026,1051,Elmore,35440,Dem,8940,GOP,26223,Ind,52,Ind,191,Ind,34,,,,,,,,,,,,,,,,,,,,,,
AL,1027,1053,Escambia,14832,Dem,5476,GOP,9263,Ind,20,Ind,55,Ind,18,,,,,,,,,,,,,,,,,,,,,,
AL,1028,1055,Etowah,42490,Dem,12792,GOP,29102,Ind,102,Ind,395,Ind,99,,,,,,,,,,,,,,,,,,,,,,
AL,1029,1057,Fayette,7912,Dem,1803,GOP,6034,Ind,24,Ind,43,Ind,8,,,,,,,,,,,,,,,,,,,,,,
AL,1030,1059,Franklin,10859,Dem,3171,GOP,7567,Ind,30,Ind,69,Ind,22,,,,,,,,,,,,,,,,,,,,,,
AL,1031,1061,Geneva,11318,Dem,2039,GOP,9173,Ind,28,Ind,63,Ind,15,,,,,,,,,,,,,,,,,,,,,,
AL,1032,1063,Greene,5328,Dem,4514,GOP,799,Ind,5,Ind,8,Ind,2,,,,,,,,,,,,,,,,,,,,,,
AL,1033,1065,Hale,8628,Dem,5401,GOP,3205,Ind,3,Ind,13,Ind,6,,,,,,,,,,,,,,,,,,,,,,
AL,1034,1067,Henry,8700,Dem,3046,GOP,5605,Ind,9,Ind,33,Ind,7,,,,,,,,,,,,,,,,,,,,,,
AL,1035,1069,Houston,41843,Dem,12348,GOP,29214,Ind,40,Ind,210,Ind,31,,,,,,,,,,,,,,,,,,,,,,
AL,1036,1071,Jackson,20555,Dem,5817,GOP,14422,Ind,65,Ind,189,Ind,62,,,,,,,,,,,,,,,,,,,,,,
AL,1037,1073,Jefferson,303424,Dem,159658,GOP,141413,Ind,283,Ind,1633,Ind,437,,,,,,,,,,,,,,,,,,,,,,
AL,1039,1075,Lamar,7159,Dem,1643,GOP,5453,Ind,20,Ind,34,Ind,9,,,,,,,,,,,,,,,,,,,,,,
AL,1040,1077,Lauderdale,36908,Dem,12504,GOP,23902,Ind,103,Ind,293,Ind,106,,,,,,,,,,,,,,,,,,,,,,
AL,1041,1079,Lawrence,14079,Dem,5055,GOP,8855,Ind,32,Ind,107,Ind,30,,,,,,,,,,,,,,,,,,,,,,
AL,1042,1081,Lee,54115,Dem,21274,GOP,32062,Ind,82,Ind,601,Ind,96,,,,,,,,,,,,,,,,,,,,,,
